uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
28891,TV,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,24 min. per ep.,"15,764",['Crunchyroll']
23273,TV,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['A-1 Pictures'],Manga,"['Love Polygon', 'Music', 'School']",Shounen,22 min. per ep.,"86,357","['Crunchyroll', 'Netflix']"
34599,TV,"['AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE']",['Kinema Citrus'],Web manga,['Gore'],,25 min. per ep.,"44,597","['Crunchyroll', 'HIDIVE', 'Netflix']"
5114,TV,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']",['Bones'],Manga,['Military'],Shounen,24 min. per ep.,"227,324",['Crunchyroll']
31758,Movie,"['Aniplex', 'Kodansha']",['Shaft'],Light novel,['Vampire'],,1 hr. 23 min.,"7,585",[]
37510,TV,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Bones'],Web manga,['Super Power'],,24 min. per ep.,"32,600",['Crunchyroll']
199,Movie,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']",['Studio Ghibli'],Original,['Mythology'],,2 hr. 4 min.,"33,105",['Netflix']
38000,TV,"['Aniplex', 'Shueisha']",['ufotable'],Manga,['Historical'],Shounen,23 min. per ep.,"91,303","['Crunchyroll', 'Netflix']"
35247,TV Special,"['Aniplex', 'Kodansha']",['Shaft'],Light novel,['Vampire'],,22 min. per ep.,"8,705",[]
2904,TV,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",['Sunrise'],Original,"['Mecha', 'Military', 'Super Power']",,24 min. per ep.,"77,087","['Crunchyroll', 'Netflix']"
32935,TV,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,24 min. per ep.,"15,585","['Crunchyroll', 'HIDIVE']"
34096,TV,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['Bandai Namco Pictures'],Manga,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,"2,744",['Crunchyroll']
15335,Movie,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['Sunrise'],Manga,"['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']",Shounen,1 hr. 50 min.,"2,123",[]
918,TV,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']",['Sunrise'],Manga,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,"59,534","['Crunchyroll', 'Netflix']"
4181,TV,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Kyoto Animation'],Visual novel,[],,24 min. per ep.,"70,480",['Shahid']
15417,TV,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",['Sunrise'],Manga,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,"3,067",['Crunchyroll']
30276,TV,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']",['Madhouse'],Web manga,"['Adult Cast', 'Parody', 'Super Power']",Seinen,24 min. per ep.,"64,808","['Crunchyroll', 'Netflix']"
16664,Movie,['add some'],['Studio Ghibli'],Other,['Historical'],,2 hr. 17 min.,"2,684",['Netflix']
4672,Movie,"['Bandai Visual', 'Kodansha']",['Production I.G'],Manga,"['Adult Cast', 'Detective', 'Mecha', 'Psychological']",Seinen,1 hr. 23 min.,236,[]
8038,Special,['add some'],['J.C.Staff'],Manga,"['Adult Cast', 'Music']",Josei,25 min.,35,[]
7588,TV,"['Dentsu', 'Media Factory', 'Movic', 'Fuji TV', 'Shogakukan']",['Manglobe'],Manga,"['Adult Cast', 'Historical', 'Samurai']",Seinen,22 min. per ep.,860,[]
1253,OVA,['add some'],['Toei Animation'],Manga,['Mythology'],Shounen,25 min. per ep.,169,['Crunchyroll']
20767,OVA,"['Avex Entertainment', 'Ai Addiction']",['Bones'],Manga,"['Mythology', 'School']",Shounen,24 min. per ep.,392,[]
1425,TV,"['VAP', 'Animax', 'Studio Jack']",['Tokyo Movie Shinsha'],Manga,['Adult Cast'],Seinen,25 min. per ep.,378,"['Crunchyroll', 'Tubi TV']"
35363,Special,['add some'],['Kyoto Animation'],Manga,[],,23 min.,266,['Crunchyroll']
22673,Special,['add some'],['Production I.G'],Manga,['Team Sports'],,2 min. per ep.,124,[]
6862,Special,"['Pony Canyon', 'Movic']",['Kyoto Animation'],4-koma manga,"['CGDCT', 'Music', 'School']",,23 min.,279,['HIDIVE']
5680,TV,"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']",['Kyoto Animation'],4-koma manga,"['CGDCT', 'Music', 'School']",,24 min. per ep.,"24,254","['Crunchyroll', 'HIDIVE']"
451,Movie,"['Kyoto Animation', 'Shogakukan-Shueisha Productions', 'Yomiuri Telecasting', 'Nippon Television Network']",['Sunrise'],Manga,"['Historical', 'Mythology', 'Time Travel']",Shounen,1 hr. 38 min.,214,"['Crunchyroll', 'Netflix']"
9563,Special,"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha']",['Shaft'],4-koma manga,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",,24 min. per ep.,10,[]
30364,Movie,['add some'],['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,1 hr. 28 min.,97,['Netflix']
33280,Movie,['Showgate'],['production doA'],4-koma manga,"['CGDCT', 'Iyashikei', 'Workplace']",,1 hr.,133,[]
36369,Movie,['Shochiku'],['Production I.G'],Novel,"['Adult Cast', 'Military', 'Space']",,25 min. per ep.,67,['Crunchyroll']
27633,Special,['Media Factory'],['Doga Kobo'],4-koma manga,['School'],,3 min. per ep.,111,[]
31637,TV,"['Genco', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",['A-1 Pictures'],Light novel,"['Isekai', 'Military']",,23 min. per ep.,"1,896",[]
