uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
35654,Music,['add some'],['Production I.G'],Game,"['Idols (Male)', 'Music']",,4 min.,9,[]
27829,TV,"['Movic', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'GREE']","['J.C.Staff', 'SANZIGEN']",Light novel,"['Mecha', 'Military']",,23 min. per ep.,451,[]
6880,TV,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC']",['Manglobe'],Manga,"['Gore', 'High Stakes Game', 'Survival']",Shounen,24 min. per ep.,"6,894",['Crunchyroll']
24625,TV,"['TV Tokyo', 'Sotsu']",['Sunrise'],Original,['Mecha'],,25 min. per ep.,115,['Crunchyroll']
2649,Movie,['add some'],['add some'],Unknown,[],,27 min.,5,[]
13599,TV,"['Aniplex', 'Dentsu', 'Fuji TV', 'Nitroplus', 'Fujipacific Music', 'MAGES.']",['Production I.G'],Visual novel,"['Mecha', 'School']",,23 min. per ep.,579,['Crunchyroll']
25755,Movie,['TOHO animation'],['TMS Entertainment'],Manga,['Racing'],Shounen,1 hr. 28 min.,10,['Crunchyroll']
1117,Movie,['Studio Jack'],['OLM'],Game,[],Kids,1 hr. 20 min.,223,[]
34318,Music,['add some'],['add some'],Mixed media,"['Music', 'Super Power']",,4 min. per ep.,17,[]
8676,TV,"['Pony Canyon', 'TBS', 'Movic']",['AIC'],Visual novel,"['Harem', 'School']",,24 min. per ep.,"2,235",['HIDIVE']
36043,Special,"['comico', 'Crunchyroll SC Anime Fund']",['Signal.MD'],Web manga,"['Adult Cast', 'Video Game']",,24 min.,84,['Crunchyroll']
10075,OVA,['add some'],['Pierrot'],Manga,[],Shounen,6 min.,85,[]
35828,TV,"['TBS', 'Grooove', 'Nichion', 'Exit Tunes', 'ONEMUSIC', 'Crunchyroll SC Anime Fund']",['8bit'],Web manga,"['Mythology', 'Pets', 'School']",,24 min. per ep.,753,['Crunchyroll']
10378,TV,"['TV Tokyo', 'Lantis', 'Pony Canyon', 'TV Tokyo Music', 'Studio Jack']",['Diomedéa'],Manga,['Anthropomorphic'],Shounen,24 min. per ep.,178,"['Crunchyroll', 'HIDIVE']"
33082,Movie,['Square Enix'],['Square Enix Visual Works'],Game,[],,1 hr. 55 min.,154,[]
16934,Special,"['Lantis', 'Pony Canyon', 'TBS', 'Rakuonsha']",['Kyoto Animation'],Light novel,['School'],,23 min.,178,['HIDIVE']
